player_id,recent_team,season,week,passing_epa,season_type,completions,interceptions,passing_tds,attempts,sacks,passing_yards
00-0033106,DET,2023,8,2.3991140622339024,REG,26,1,1,37,0,272
00-0033106,DET,2023,10,14.826729859458283,REG,23,0,2,33,0,333
00-0033106,DET,2023,11,-2.145054559397977,REG,23,3,2,35,2,236
00-0033106,DET,2023,12,-5.440493225352839,REG,29,0,2,44,3,332
00-0033106,DET,2023,13,8.439438044373311,REG,16,0,2,25,1,213
00-0033106,DET,2023,14,-6.335564998094924,REG,20,2,1,35,4,161
00-0033106,DET,2023,15,15.231727600214072,REG,24,0,5,34,2,278
00-0033106,DET,2023,16,14.274304325256997,REG,30,0,1,40,1,257
00-0033106,DET,2023,17,-1.6409641929907326,REG,19,2,1,34,1,271
00-0033106,DET,2023,18,10.87409844600108,REG,23,0,2,32,1,320
00-0033119,WAS,2023,15,9.427990246273112,REG,8,0,2,10,0,124
00-0033119,WAS,2023,16,6.947744549863273,REG,10,0,1,13,0,100
00-0033275,CLE,2023,6,-14.264403022690109,REG,18,2,0,34,2,192
00-0033275,CLE,2023,7,-3.3300769146376688,REG,15,1,0,32,2,178
00-0033275,CLE,2023,8,-5.688340737857574,REG,15,2,1,31,3,248
00-0033275,CLE,2023,10,-0.2794255707995035,REG,0,0,0,1,0,0
00-0033275,CLE,2023,12,-11.402487118903082,REG,6,0,0,13,4,56
00-0033319,MIN,2023,14,1.6778485485701822,REG,9,0,0,13,0,83
00-0033319,MIN,2023,15,11.740158662526127,REG,26,2,2,33,3,303
00-0033319,MIN,2023,16,5.6913213593070395,REG,22,4,2,36,4,411
00-0033319,MIN,2023,17,-4.1967074410640635,REG,13,0,1,22,1,113
00-0033319,MIN,2023,18,-2.6157523604154265,REG,30,2,2,44,4,396
00-0033357,NO,2023,1,NA,REG,0,0,0,0,0,0
00-0033357,NO,2023,2,0.5803323040599935,REG,1,0,0,1,0,8
00-0033357,NO,2023,3,NA,REG,0,0,0,0,0,0
00-0033357,NO,2023,4,-0.3197493079351261,REG,1,0,0,1,1,13
00-0033357,NO,2023,5,NA,REG,0,0,0,0,0,0
00-0033357,NO,2023,6,0.08685685053933412,REG,1,0,0,1,0,4
00-0033357,NO,2023,7,NA,REG,0,0,0,0,0,0
00-0033357,NO,2023,8,2.595579115615692,REG,1,0,0,2,0,44
00-0033357,NO,2023,9,0.8065087035065517,REG,1,0,1,1,0,3
00-0033357,NO,2023,10,NA,REG,0,0,0,0,0,0
00-0033357,NO,2023,12,NA,REG,0,0,0,0,0,0
00-0033357,NO,2023,13,-1.4256790415383875,REG,0,0,0,2,0,0
00-0033357,NO,2023,15,-0.5991178345866501,REG,0,0,0,1,0,0
00-0033357,NO,2023,16,NA,REG,0,0,0,0,0,0
00-0033357,NO,2023,17,0.49068568175425753,REG,1,0,0,2,0,11
00-0033357,NO,2023,18,-0.7570095867849886,REG,0,0,0,0,1,0
00-0033537,CLE,2023,1,-10.871305896014098,REG,16,1,1,29,3,154
00-0033537,CLE,2023,2,-15.953177403144817,REG,22,1,1,40,6,235
00-0033537,CLE,2023,3,12.508116518452686,REG,27,0,2,33,3,289
00-0033537,CLE,2023,7,-5.8757238739635795,REG,1,1,0,5,0,5
00-0033537,CLE,2023,9,1.4342772680909022,REG,19,0,2,30,1,219
00-0033537,CLE,2023,10,-0.1923484141191314,REG,20,1,1,34,4,213
00-0033662,DAL,2023,1,-2.601653972407803,REG,0,0,0,1,0,0
00-0033662,DAL,2023,4,1.5769879361032508,REG,2,0,0,2,0,20
00-0033662,DAL,2023,5,-1.4217072618193924,REG,2,0,0,2,1,8
00-0033662,DAL,2023,8,-2.3172528342111036,REG,2,0,0,3,0,3
00-0033662,DAL,2023,10,-0.29045116109773517,REG,7,1,0,9,0,68
00-0033662,DAL,2023,11,-1.0920929117128253,REG,2,0,0,3,0,15
00-0033662,DAL,2023,18,0.9062224575763875,REG,3,0,0,4,0,30
00-0033869,PIT,2023,4,-1.1255575283430517,REG,3,0,0,5,0,18
00-0033869,PIT,2023,8,-7.641714351077098,REG,15,2,1,27,2,138
00-0033869,PIT,2023,13,8.028602926241097,REG,11,0,1,17,0,117
00-0033869,PIT,2023,14,-16.507744101715836,REG,22,1,1,35,2,190
